"ca","az","mean_param","sd_param","mean_p_val","sd_p_val","no_null_reject"
4,4,0.316677723524253,0.0879408623012321,0.0977805459430623,0.106834965595483,42
4,5,0.296605703303367,0.0669684344695836,0.0614671223173316,0.0699599512083941,58
4,6,0.260876982585786,0.0552731615027049,0.0640164430121004,0.09125514302462,66
4,7,0.260929854701393,0.0574692260147512,0.0405442613297609,0.0587724212548733,74
4,8,0.260967076940889,0.0410377678602583,0.0410267862027059,0.0480753734220267,68
5,4,0.301414855235691,0.0731916232110124,0.0770533891150688,0.0955940913837513,57
5,5,0.271876766719115,0.0568984621661088,0.0586472358313089,0.0824676459986556,67
5,6,0.264047957884798,0.0518420041504007,0.0481475974698021,0.0620336319929938,68
5,7,0.242227167271658,0.0366463049138366,0.0314597033307561,0.0504312047873075,86
5,8,0.243989170309929,0.0344892294095631,0.0297237394505473,0.0407269706302697,81
6,4,0.301359252210442,0.0687324511215448,0.0774561532221496,0.087300835153551,53
6,5,0.265399396090622,0.0516169061299809,0.0386610312496592,0.0468725662284552,71
6,6,0.258874822453351,0.0445563691077663,0.0332066536808026,0.0329820151336846,79
6,7,0.23675247182593,0.0369020669126967,0.0235332028859969,0.0294553101251093,86
6,8,0.235147557640025,0.036134019315093,0.0195798457663471,0.0273598847340872,89
7,4,0.289224412510219,0.0642998004305484,0.0566949417785176,0.0626374575172994,60
7,5,0.262369261557074,0.0483669655502098,0.0434187747976079,0.0528322431398033,72
7,6,0.245366107121435,0.0388151035979452,0.0266179264364911,0.0353290119214245,84
7,7,0.234551222839296,0.0354027484564536,0.0165858307275554,0.0186128003565167,92
7,8,0.218890486968104,0.0295340287722891,0.0137614664137057,0.0150986100363227,96
8,4,0.281829676076678,0.0502713466253575,0.0579234172316947,0.0765362508264472,64
8,5,0.250353527502925,0.0386758062816125,0.0235165427918387,0.0320547458703353,88
8,6,0.235793248545856,0.0354489863523886,0.0209088211735537,0.023381111889828,86
8,7,0.22743289480132,0.0343993333470157,0.0114667003259313,0.0137746704739877,98
8,8,0.220671736223743,0.0273285352273224,0.00893587896512712,0.00975995631333815,99
9,4,0.278497566337414,0.0367314152272525,0.0405719179668997,0.0528105655308119,73
9,5,0.253518239207902,0.0380951051603862,0.0257000136236971,0.0331722482494561,86
9,6,0.236861002355418,0.0265575081443118,0.0152792321744596,0.0156546793120248,96
9,7,0.225683421076855,0.0250901652947879,0.00945195167466468,0.00989006146965273,100
9,8,0.214010065526251,0.0206112712495016,0.00694413845328397,0.00648227186907667,100
10,4,0.273109910949228,0.0391485383973444,0.027618555916546,0.0307785802614764,86
10,5,0.251089834167812,0.0298279464386464,0.0204437709250354,0.0244514267365189,88
10,6,0.228169467047926,0.0299743313409001,0.0116748729146383,0.0127807106008738,98
10,7,0.219617002007441,0.0207010378104981,0.00860789528660635,0.0075703312920105,100
10,8,0.208451216618606,0.0199281707720763,0.00436282494718838,0.00360968649146506,100
11,4,0.277395998967163,0.028610750927763,0.0298595634331255,0.0367772207879268,81
11,5,0.248049410884273,0.0226059962443765,0.0165091273928411,0.0181526100981472,92
11,6,0.229182118138741,0.0205441500766612,0.00960773085484564,0.0096075866698327,100
11,7,0.217582133917896,0.0184106014144199,0.00629426426614806,0.00489585648002505,100
11,8,0.206262459039337,0.0159812031015585,0.00424428015299173,0.00265394382144357,100
12,4,0.272324057432034,0.0274865818475688,0.0276602420712849,0.0293814423763341,85
12,5,0.245744295169005,0.0179466086607388,0.0144918869200775,0.0150918376230878,96
12,6,0.228015583940126,0.0163834443522578,0.00975645639069399,0.00823259643893367,100
12,7,0.212361653805494,0.0142085845910293,0.00448492085699803,0.00368975062678519,100
12,8,0.203298444452459,0.0122379813865515,0.00257493971309463,0.00160556438364096,100
