"sampling_code","day","sample_replicate","test","log_conc","loc","days_since_last_irrigation","hr_harvest_packaging","hr_harvest_arrival","hr_arrival_packaging"
"1221_A","5","1","APC",6.02699294708075,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","5","2","APC",6.03719335767844,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","5","3","APC",5.88365841543458,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","5","1","GN",5.61906871750211,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","5","2","GN",5.42935552749151,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","5","3","GN",5.42662372246305,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","5","1","PC",6.14846325524445,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","5","2","PC",5.49408085712817,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","5","3","PC",6.07407300214065,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","7","1","APC",6.90310600365477,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","7","2","APC",6.18749054682951,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","7","3","APC",6.62851568176934,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","7","1","GN",6.64683968923472,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","7","2","GN",6.07799140651343,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","7","3","GN",6.42894332686414,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","7","1","PC",7.28331724536637,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","7","2","PC",6.69264052514942,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","7","3","PC",7.06072519981179,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","12","1","APC",7.36404200070949,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","12","2","APC",7.34211103439359,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","12","3","APC",7.17697864476442,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","12","1","GN",7.09208345299277,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","12","2","GN",7.00862901494847,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","12","3","GN",6.91965757698585,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","12","1","PC",7.8655226012886,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","12","2","PC",7.72950086073232,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","12","3","PC",7.74240974073023,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","17","1","APC",8.01908970622395,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","17","2","APC",7.9951649608923,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","17","3","APC",7.78464803223001,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","17","1","GN",7.57601307125981,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","17","2","GN",7.59820199308657,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","17","3","GN",7.2711767554715,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","17","1","PC",8.66876712449671,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","17","2","PC",8.46835592198352,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","17","3","PC",8.35549764117154,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","22","1","APC",8.9230657378233,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","22","2","APC",8.29962091001117,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","22","3","APC",8.72197733608397,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","22","1","GN",8.36031548050527,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","22","2","GN",7.89253752189926,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","22","3","GN",8.12697919924349,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","22","1","PC",9.51354385660145,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","22","2","PC",9.76139447288968,"FL",NA,61,38.5833333333333,22.4166666666667
"1221_A","22","3","PC",9.20381922947622,"FL",NA,61,38.5833333333333,22.4166666666667
"0122_A","4","1","APC",6.21917771786517,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","4","2","APC",6.14841206891809,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","4","3","APC",6.12624471473999,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","4","1","GN",5.9423133835433,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","4","2","GN",5.84878528766355,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","4","3","GN",5.7849596756473,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","4","1","PC",6.42536366525522,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","4","2","PC",6.53351485288496,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","4","3","PC",6.60573270273875,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","7","1","APC",6.54020757090549,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","7","2","APC",6.70734514656775,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","7","3","APC",6.57666729296816,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","7","1","GN",6.08081508314626,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","7","2","GN",6.29985981998948,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","7","3","GN",6.26091404048347,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","7","1","PC",7.15563152379143,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","7","2","PC",7.25943116293387,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","7","3","PC",7.06736135487709,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","12","1","APC",7.00384688130547,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","12","2","APC",7.24596774550242,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","12","3","APC",7.09996727369861,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","12","1","GN",6.45100491264769,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","12","2","GN",6.85073363020631,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","12","3","GN",6.84593384071085,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","12","1","PC",8.1034507987184,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","12","2","PC",7.85342276871709,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","12","3","PC",8.09371832442161,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","17","1","APC",7.62988394236809,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","17","2","APC",7.90864058937488,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","17","3","APC",7.82453317596477,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","17","1","GN",7.17194600402077,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","17","2","GN",7.43151933465522,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","17","3","GN",7.18299316750551,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","17","1","PC",8.58047908619023,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","17","2","PC",8.79638288452567,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","17","3","PC",8.46934514771368,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","22","1","APC",6.85755808694797,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","22","2","APC",7.92840415265907,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","22","3","APC",8.33428103510892,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","22","1","GN",6.63570933733162,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","22","2","GN",7.53737613840336,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","22","3","GN",7.92719764699702,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","22","1","PC",7.57356143058277,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","22","2","PC",8.65656254612257,"AZ",1,133,107.766666666667,25.2333333333333
"0122_A","22","3","PC",9.130161052453,"AZ",1,133,107.766666666667,25.2333333333333
"0122_B","5","1","APC",5.70947389405397,"AZ",3,97.5,58.35,39.15
"0122_B","5","2","APC",5.67983347096512,"AZ",3,97.5,58.35,39.15
"0122_B","5","3","APC",5.6667178459051,"AZ",3,97.5,58.35,39.15
"0122_B","5","1","GN",5.42963319745993,"AZ",3,97.5,58.35,39.15
"0122_B","5","2","GN",5.44691929519861,"AZ",3,97.5,58.35,39.15
"0122_B","5","3","GN",5.19352688481387,"AZ",3,97.5,58.35,39.15
"0122_B","5","1","PC",6.12305303703319,"AZ",3,97.5,58.35,39.15
"0122_B","5","2","PC",6.10784594574739,"AZ",3,97.5,58.35,39.15
"0122_B","5","3","PC",6.03694486671011,"AZ",3,97.5,58.35,39.15
"0122_B","7","1","APC",6.31500478590871,"AZ",3,97.5,58.35,39.15
"0122_B","7","2","APC",6.31075271525713,"AZ",3,97.5,58.35,39.15
"0122_B","7","3","APC",6.51701474667014,"AZ",3,97.5,58.35,39.15
"0122_B","7","1","GN",6.00463476399059,"AZ",3,97.5,58.35,39.15
"0122_B","7","2","GN",6.17245001709085,"AZ",3,97.5,58.35,39.15
"0122_B","7","3","GN",7.08900227188788,"AZ",3,97.5,58.35,39.15
"0122_B","7","1","PC",6.91241987219091,"AZ",3,97.5,58.35,39.15
"0122_B","7","2","PC",6.74284700016348,"AZ",3,97.5,58.35,39.15
"0122_B","7","3","PC",6.80877119820516,"AZ",3,97.5,58.35,39.15
"0122_B","12","1","APC",6.75581534872112,"AZ",3,97.5,58.35,39.15
"0122_B","12","2","APC",6.91453197912143,"AZ",3,97.5,58.35,39.15
"0122_B","12","3","APC",7.15346860132238,"AZ",3,97.5,58.35,39.15
"0122_B","12","1","GN",6.45478535305714,"AZ",3,97.5,58.35,39.15
"0122_B","12","2","GN",6.64269037258493,"AZ",3,97.5,58.35,39.15
"0122_B","12","3","GN",6.88837318515421,"AZ",3,97.5,58.35,39.15
"0122_B","12","1","PC",7.54372643639392,"AZ",3,97.5,58.35,39.15
"0122_B","12","2","PC",7.43508206208319,"AZ",3,97.5,58.35,39.15
"0122_B","12","3","PC",7.45031595327419,"AZ",3,97.5,58.35,39.15
"0122_B","17","1","APC",6.77899415070599,"AZ",3,97.5,58.35,39.15
"0122_B","17","2","APC",7.21038538618015,"AZ",3,97.5,58.35,39.15
"0122_B","17","3","APC",6.88425841740294,"AZ",3,97.5,58.35,39.15
"0122_B","17","1","GN",6.50521107018287,"AZ",3,97.5,58.35,39.15
"0122_B","17","2","GN",6.93595315900996,"AZ",3,97.5,58.35,39.15
"0122_B","17","3","GN",6.47591564833114,"AZ",3,97.5,58.35,39.15
"0122_B","17","1","PC",7.2592286408498,"AZ",3,97.5,58.35,39.15
"0122_B","17","2","PC",7.80957873685651,"AZ",3,97.5,58.35,39.15
"0122_B","17","3","PC",7.23615530940608,"AZ",3,97.5,58.35,39.15
"0122_B","22","1","APC",7.2454355490211,"AZ",3,97.5,58.35,39.15
"0122_B","22","2","APC",7.16762732625774,"AZ",3,97.5,58.35,39.15
"0122_B","22","3","APC",7.48192231680456,"AZ",3,97.5,58.35,39.15
"0122_B","22","1","GN",6.9047909443035,"AZ",3,97.5,58.35,39.15
"0122_B","22","2","GN",6.7193821992743,"AZ",3,97.5,58.35,39.15
"0122_B","22","3","GN",6.92357125336201,"AZ",3,97.5,58.35,39.15
"0122_B","22","1","PC",7.78147574035941,"AZ",3,97.5,58.35,39.15
"0122_B","22","2","PC",7.88258543597789,"AZ",3,97.5,58.35,39.15
