"sampling_code","n0","mumax","nmax","test"
"1221_A",5.98261490673125,0.156800377720092,8.64822132797281,"apc"
"0122_A",6.16461150050775,0.124851877081654,7.78768590256925,"apc"
"0122_B",5.68534173697473,0.0948815682580235,7.29832839736113,"apc"
"0222_A",5.04249732564787,0.167341198446352,8.3893212945749,"apc"
"0222_B",5.14628758226111,0.154560534274229,8.2374982677457,"apc"
"0322_A",5.18658082149973,0.136009459157601,7.90677000465174,"apc"
"0322_B",4.96120880719715,0.122426163575314,6.79760126082686,"apc"
"0422_A",7.46058004043314,0.103849296305822,9.32986737393793,"apc"
"0422_B",6.49990109035791,0.147741281915973,7.82957262760167,"apc"
"0522_A",5.51868061333555,0.235318301612202,6.69527212139656,"apc"
"0522_B",5.96619478722317,0.109188534993487,8.80509669705383,"apc"
"0522_C",6.78785208630711,0.089247292873636,9.01903440814801,"apc"
"0622_A",6.44620557452303,0.101479374187418,8.78023118083364,"apc"
"0622_B",6.02111884048652,0.129897638183276,8.48917396596876,"apc"
"0722_A",5.79996177979505,0.176073165264074,8.7932055892843,"apc"
"0822_A",6.04359621797915,0.185308292589353,9.37914548458751,"apc"
"0822_B",5.44950880741146,0.173038389494559,9.0833149867972,"apc"
"0922_A",6.25193946831214,0.139429438137667,8.90109879292782,"apc"
"0922_B",6.69274639638809,0.120747610430495,8.9869509945675,"apc"
"1022_A",6.69425591344364,0.13392913921604,9.37283869776444,"apc"
"1022_B",6.55674126973446,0.148239950633873,9.37330033177805,"apc"
"1122_A",5.38312814992835,0.119302284431157,7.64987155412034,"apc"
"1122_B",6.72534957256867,0.088578066545318,8.05402057074844,"apc"
"1222_A",5.3939393022214,0.128021219088798,7.69832124581976,"apc"
"1222_B",5.2777661354935,0.126886193412144,7.81549000373638,"apc"
"1221_A",5.90553903817109,0.211022361655962,9.49291918632245,"pc"
"0122_A",6.52153707362631,0.161066561475658,8.61540237280986,"pc"
"0122_B",6.08928128316356,0.108568478917239,7.93494542475663,"pc"
"0222_A",5.43412756587356,0.176507257898425,8.96427272384205,"pc"
"0222_B",5.45193977059045,0.153091022085486,8.51376021230017,"pc"
"0322_A",5.5794098385934,0.161247342811891,8.80435669483123,"pc"
"0322_B",5.17620562412545,0.151218851388695,7.44448839495587,"pc"
"0422_A",7.66433596254692,0.106854646593297,9.58771960122626,"pc"
"0422_B",6.79801040862793,0.148672939900643,8.13606686773372,"pc"
"0522_A",5.82798746330231,0.298883176902184,7.32240334781323,"pc"
"0522_B",7.09898031487739,0.101690907265386,9.74294390377742,"pc"
"0522_C",6.88264293678398,0.101783986253474,9.42724259312083,"pc"
"0622_A",6.79003936668474,0.117294097377696,9.48780360637175,"pc"
"0622_B",6.04337234735165,0.134387443085415,8.59673376597454,"pc"
"0722_A",5.84199983403237,0.189564865061584,9.06460254007929,"pc"
"0822_A",6.24147330046098,0.189650520939138,9.65518267736546,"pc"
"0822_B",5.35190004092897,0.191729002891145,9.37820910164302,"pc"
"0922_A",6.42618235798834,0.146928741246242,9.21782844166693,"pc"
"0922_B",6.93506461696522,0.110978934810833,9.04366437837105,"pc"
"1022_A",6.52669513659583,0.162071888683743,9.7681329102707,"pc"
"1022_B",6.75103349471967,0.165229675785132,9.89039733463718,"pc"
"1122_A",4.84213328246921,0.15571698096479,7.80075592080022,"pc"
"1122_B",6.95544061066538,0.0857545574520254,8.24175897244576,"pc"
"1222_A",5.21239900025539,0.137596413079559,7.68913443568745,"pc"
"1222_B",5.50827949504477,0.146911894646579,8.44651738797635,"pc"
