"qseqid","genus"
"s12-0412","Pseudomonas"
"s12-0413","Pseudomonas"
"s12-0414","Pseudomonas"
"s12-0415","Pantoea"
"s12-0416","Pantoea"
"s12-0417","Pseudomonas"
"s12-0418","Pseudomonas"
"s12-0419","Pantoea"
"s12-0420","Pseudomonas"
"s12-0421","Pantoea"
"s12-0422","Pseudomonas"
"s12-0423","Pseudomonas"
"s12-0426","Pseudomonas"
"s12-0427","Enterobacterales"
"s12-0428","Pantoea"
"s12-0429","Erwinia"
"s12-0430","Pseudomonas"
"s12-0431","Pseudomonas"
"s12-0432","Erwinia"
"s12-0433","Pantoea"
"s12-0434","Erwinia"
"s12-0435","Erwinia"
"s12-0436","Pseudomonas"
"s12-0437","Pseudomonas"
"s12-0438","Pseudomonas"
"s12-0440","Stenotrophomonas"
"s12-0441","Pseudomonas"
"s12-0442","Pantoea"
"s12-0443","Pseudomonas"
"s12-0444","Pantoea"
"s12-0445","Pseudomonas"
"s12-0446","Pantoea"
"s12-0447","Erwinia"
"s12-0448","Pseudomonas"
"s12-0449","Pantoea"
"s12-0450","Shewanella"
"s12-0451","Shewanella"
"s12-0452","Pseudomonas"
"s12-0453","Pseudomonas"
"s12-0454","Bacillus"
"s12-0456","Bacillus"
"s12-0457","Erwiniaceae"
"s12-0459","Erwiniaceae"
"s12-0460","Kushneria"
"s12-0463","Bacillus"
"s12-0465","Bacillus"
"s12-0466","Pantoea"
"s12-0467","Kushneria"
"s12-0468","Enterobacteriaceae"
"s12-0469","Erwiniaceae"
"s12-0470","Erwinia"
"s12-0473","Pseudomonas"
"s12-0475","Bacillus"
"s12-0476","Bacillus"
"s12-0477","Bacillus"
"s12-0478","Pseudomonas"
"s12-0479","Erwiniaceae"
"s12-0480","Pseudomonas"
"s12-0481","Erwiniaceae"
"s12-0482","Pseudomonas"
"s12-0483","Pseudomonas"
"s12-0484","Psychrobacter"
"s12-0485","Pseudomonas"
"s12-0489","Bacillus"
"s12-0491","Pantoea"
"s12-0492","Pantoea"
"s12-0493","Pantoea"
"s12-0494","Pseudomonas"
"s12-0495","Pantoea"
"s12-0496","Pantoea"
"s12-0497","Pantoea"
"s12-0498","Pseudomonas"
"s12-0499","Pseudomonas"
"s12-0500","Pseudomonas"
"s12-0501","Shewanella"
"s12-0503","Pseudomonas"
"s12-0504","Pseudomonas"
"s12-0505","Pseudomonas"
"s12-0506","Pseudomonas"
"s12-0507","Pseudomonas"
"s12-0508","Pseudomonas"
"s12-0509","Pseudomonas"
"s12-0510","Pseudomonas"
"s12-0511","Pseudomonas"
"s12-0512","Pseudomonas"
"s12-0513","Pseudomonas"
"s12-0514","Pseudomonas"
"s12-0515","Pseudomonas"
"s12-0516","Pseudomonas"
"s12-0517","Pseudomonas"
"s12-0518","Pseudomonas"
"s12-0519","Erwinia"
"s12-0520","Pseudomonas"
"s12-0521","Pseudomonas"
"s12-0522","Pantoea"
"s12-0523","Pseudomonas"
"s12-0524","Shewanella"
"s12-0525","Shewanella"
"s12-0526","Shewanella"
"s12-0527","Pantoea"
"s12-0528","Erwinia"
"s12-0529","Pantoea"
"s12-0530","Pantoea"
"s12-0531","Erwinia"
"s12-0532","Pantoea"
"s12-0533","Pantoea"
"s12-0534","Erwinia"
"s12-0535","Pseudomonas"
"s12-0537","Pseudomonas"
"s12-0538","Pseudomonas"
"s12-0541","Pantoea"
"s12-0542","Pantoea"
"s12-0543","Erwinia"
"s12-0544","Erwinia"
"s12-0545","Pantoea"
"s12-0546","Erwinia"
"s12-0548","Shewanella"
"s12-0550","Pseudomonas"
"s12-0551","Pantoea"
"s12-0552","Pantoea"
"s12-0553","Pantoea"
"s12-0554","Erwinia"
"s12-0555","Erwinia"
"s12-0556","Pantoea"
"s12-0557","Erwinia"
"s12-0558","Pantoea"
"s12-0561","Pseudomonas"
"s12-0562","Pseudomonas"
"s12-0563","Pseudomonas"
"s12-0564","Bacillus"
"s12-0567","Erwinia"
"s12-0568","Erwinia"
"s12-0569","Erwinia"
"s12-0570","Erwinia"
"s12-0571","Peribacillus"
"s12-0572","Pseudomonas"
"s12-0573","Pseudomonas"
"s12-0574","Pseudomonas"
"s12-0576","Bacillus"
"s12-0577","Bacillus"
"s12-0578","Pseudomonas"
"s12-0579","Erwinia"
"s12-0580","Pantoea"
"s12-0581","Pantoea"
"s12-0582","Pantoea"
"s12-0583","Pseudomonas"
"s12-0584","Pseudomonas"
"s12-0585","Pseudomonas"
"s12-0586","Pseudomonas"
"s12-0590","Bacillus"
"s12-0591","Pantoea"
"s12-0592","Pantoea"
"s12-0593","Pantoea"
"s12-0594","Pantoea"
"s12-0595","Pseudomonas"
"s12-0596","Pseudomonas"
"s12-0598","Pseudomonas"
"s12-0599","Pseudomonas"
"s12-0600","Pseudomonas"
"s12-0601","Pseudomonas"
"s12-0602","Pseudomonas"
"s12-0603","Pseudomonas"
"s12-0604","Pseudomonas"
"s12-0605","Erwinia"
"s12-0606","Pseudomonas"
"s12-0607","Pseudomonas"
"s12-0608","Pseudomonas"
"s12-0609","Pseudomonas"
"s12-0610","Pseudomonas"
"s12-0611","Pseudomonas"
"s12-0612","Pseudomonas"
"s12-0613","Pseudomonas"
"s12-0614","Pseudomonas"
"s12-0615","Pseudomonas"
"s12-0616","Pseudomonas"
"s12-0618","Pseudomonas"
"s12-0619","Pseudomonas"
"s12-0620","Pseudomonas"
"s12-0621","Pseudomonas"
"s12-0622","Pseudomonas"
"s12-0623","Pseudomonas"
"s12-0624","Pseudomonas"
"s12-0625","Erwinia"
"s12-0626","Pseudomonas"
"s12-0627","Pseudomonas"
"s12-0628","Pantoea"
"s12-0629","Pantoea"
"s12-0630","Erwinia"
"s12-0631","Pantoea"
"s12-0632","Pseudomonas"
"s12-0633","Pseudomonas"
"s12-0634","Pseudomonas"
"s12-0635","Pseudomonas"
"s12-0636","Pseudomonas"
"s12-0637","Pantoea"
"s12-0638","Pseudomonas"
"s12-0639","Erwinia"
"s12-0644","Pseudomonas"
"s12-0645","Pseudomonas"
"s12-0646","Shewanella"
"s12-0647","Pseudomonas"
"s12-0649","Erwinia"
"s12-0652","Pseudomonas"
"s12-0653","Pseudomonas"
"s12-0654","Erwinia"
"s12-0655","Pseudomonas"
"s12-0662","Erwinia"
"s12-0663","Erwinia"
"s12-0664","Pseudomonas"
"s12-0665","Pseudomonas"
"s12-0666","Pseudomonas"
"s12-0667","Pseudomonas"
"s12-0668","Pseudomonas"
"s12-0671","Pseudomonas"
"s12-0672","Pseudomonas"
"s12-0673","Erwiniaceae"
"s12-0674","Pseudomonas"
"s12-0675","Pantoea"
"s12-0676","Lysinibacillus"
"s12-0677","Pantoea"
"s12-0678","Pseudomonas"
"s12-0679","Enterobacteriaceae"
"s12-0680","Pantoea"
"s12-0681","Pantoea"
"s12-0683","Exiguobacterium"
"s12-0684","Peribacillus"
"s12-0685","Pseudarthrobacter"
"s12-0686","Pseudomonas"
"s12-0687","Exiguobacterium"
"s12-0689","Bacillus"
"s12-0690","Bacillus"
"s12-0691","Bacillus"
"s12-0692","Pantoea"
"s12-0694","Pantoea"
"s12-0695","Pseudomonas"
"s12-0696","Pseudomonas"
"s12-0697","Sanguibacter"
"s12-0698","Pseudomonas"
"s12-0699","Pantoea"
"s12-0700","Bacillus"
"s12-0701","Bacillus"
"s12-0702","Pseudomonas"
"s12-0703","Bacillus"
"s12-0704","Pseudomonas"
"s12-0705","Pantoea"
"s12-0706","Pseudomonas"
"s12-0707","Pseudomonas"
"s12-0708","Exiguobacterium"
"s12-0710","Pantoea"
"s12-0712","Erwinia"
"s12-0714","Pantoea"
"s12-0715","Pantoea"
"s12-0716","Pantoea"
"s12-0717","Pantoea"
"s12-0721","Pseudomonas"
"s12-0722","Pseudomonas"
"s12-0723","Pseudomonas"
"s12-0724","Pseudomonas"
"s12-0725","Pseudomonas"
"s12-0726","Pseudomonas"
"s12-0728","Pseudomonas"
"s12-0730","Pseudomonas"
"s12-0731","Pseudomonas"
"s12-0732","Pseudomonas"
"s12-0733","Pseudomonas"
"s12-0734","Pseudomonas"
"s12-0735","Pantoea"
"s12-0736","Pseudomonas"
"s12-0737","Pseudomonas"
"s12-0738","Pseudomonas"
"s12-0739","Pseudomonas"
"s12-0740","Pseudomonas"
"s12-0741","Pantoea"
"s12-0742","Pantoea"
"s12-0743","Pseudomonas"
"s12-0744","Pseudomonas"
"s12-0745","Pseudomonas"
"s12-0746","Pseudomonas"
"s12-0747","Pseudomonas"
"s12-0748","Pseudomonas"
"s12-0749","Pseudomonas"
"s12-0750","Pseudomonas"
"s12-0751","Pseudomonas"
"s12-0752","Pseudomonas"
"s12-0753","Acinetobacter"
"s12-0754","Bacillus"
"s12-0755","Acinetobacter"
"s12-0756","Pantoea"
"s12-0757","Pantoea"
"s12-0758","Peribacillus"
"s12-0759","Pantoea"
"s12-0760","Pantoea"
"s12-0761","Acinetobacter"
"s12-0762","Enterobacteriaceae"
"s12-0763","Pseudomonas"
"s12-0764","Acinetobacter"
"s12-0765","Acinetobacter"
"s12-0766","Aeromonas"
"s12-0767","Aeromonas"
"s12-0771","Enterococcus"
"s12-0772","Pseudomonas"
"s12-0773","Pseudomonas"
"s12-0774","Pseudomonas"
"s12-0775","Pseudomonas"
"s12-0776","Pseudomonas"
"s12-0778","Pantoea"
"s12-0779","Pseudomonas"
"s12-0780","Pseudomonas"
"s12-0781","Bacillus"
"s12-0782","Pseudomonas"
"s12-0783","Pantoea"
"s12-0784","Pantoea"
"s12-0785","Pantoea"
"s12-0786","Pseudomonas"
"s12-0787","Pantoea"
"s12-0788","Pseudomonas"
"s12-0789","Pseudomonas"
"s12-0790","Pseudomonas"
"s12-0791","Pseudomonas"
"s12-0792","Pantoea"
"s12-0793","Exiguobacterium"
"s12-0794","Pantoea"
"s12-0795","Pseudomonas"
"s12-0796","Pseudomonas"
