"qseqid","genus"
"s12-1204","Pseudomonas"
"s12-1205","Pseudomonas"
"s12-1206","Pseudomonas"
"s12-1207","Pseudomonas"
"s12-1208","Pseudomonas"
"s12-1209","Pseudomonas"
"s12-1210","Pseudomonas"
"s12-1211","Pseudomonas"
"s12-1212","Pseudomonas"
"s12-1213","Pseudomonas"
"s12-1214","Shewanella"
"s12-1215","Enterobacterales"
"s12-1216","Shewanella"
"s12-1217","Pseudomonas"
"s12-1218","Shewanella"
"s12-1219","Shewanella"
"s12-1220","Shewanella"
"s12-1221","Shewanella"
"s12-1222","Shewanella"
"s12-1223","Enterobacterales"
"s12-1224","Pseudomonas"
"s12-1225","Pseudomonas"
"s12-1226","Pantoea"
"s12-1227","Pseudomonas"
"s12-1228","Pseudomonas"
"s12-1229","Pseudomonas"
"s12-1230","Arthrobacter"
"s12-1231","Peribacillus"
"s12-1232","Pseudomonas"
"s12-1233","Pseudomonas"
"s12-1234","Pseudomonas"
"s12-1235","Pseudomonas"
"s12-1236","Pseudomonas"
"s12-1237","Pseudomonas"
"s12-1238","Pseudomonas"
"s12-1239","Pseudomonas"
"s12-1240","Pseudomonas"
"s12-1241","Pseudomonas"
"s12-1242","Erwinia"
"s12-1243","Erwinia"
"s12-1244","Pseudomonas"
"s12-1245","Pseudomonas"
"s12-1246","Erwinia"
"s12-1247","Pseudomonas"
"s12-1248","Pseudomonas"
"s12-1249","Erwinia"
"s12-1250","Pseudomonas"
"s12-1251","Pseudomonas"
"s12-1252","Pantoea"
"s12-1253","Pseudomonas"
"s12-1254","Pseudomonas"
"s12-1255","Pantoea"
"s12-1256","Pseudomonas"
"s12-1257","Pseudomonas"
"s12-1258","Pseudomonas"
"s12-1259","Bacillus"
"s12-1262","Bacillus"
"s12-1263","Pantoea"
"s12-1264","Pantoea"
"s12-1265","Pseudomonas"
"s12-1266","Pseudomonas"
"s12-1267","Enterococcus"
"s12-1268","Peribacillus"
"s12-1269","Staphylococcus"
"s12-1270","Bacillus"
"s12-1271","Pseudomonas"
"s12-1272","Erwinia"
"s12-1273","Pseudomonas"
"s12-1274","Psychrobacter"
"s12-1275","Exiguobacterium"
"s12-1276","Bacillus"
"s12-1277","Bacillus"
"s12-1278","Pantoea"
"s12-1279","Pantoea"
"s12-1280","Pantoea"
"s12-1281","Erwinia"
"s12-1284","Bacillus"
"s12-1285","Bacillus"
"s12-1286","Bacillus"
"s12-1287","Pantoea"
"s12-1288","Pantoea"
"s12-1289","Pantoea"
"s12-1290","Pantoea"
"s12-1292","Bacillus"
"s12-1293","Pantoea"
"s12-1294","Bacillus"
"s12-1295","Pseudomonas"
"s12-1296","Pseudomonas"
"s12-1297","Pseudomonas"
"s12-1298","Pseudomonas"
"s12-1299","Exiguobacterium"
"s12-1300","Bacillus"
"s12-1301","Bacillus"
"s12-1302","Bacillus"
"s12-1303","Pantoea"
"s12-1304","Pantoea"
"s12-1305","Pseudomonas"
"s12-1306","Pectobacteriaeceae"
"s12-1307","Pseudomonas"
"s12-1308","Pseudomonas"
"s12-1309","Pseudomonas"
"s12-1310","Exiguobacterium"
"s12-1311","Pantoea"
"s12-1312","Pantoea"
"s12-1313","Aeromonas"
"s12-1314","Buttiauxella"
"s12-1315","Carnobacterium"
"s12-1316","Pseudomonas"
"s12-1317","Enterobacterales"
"s12-1318","Enterobacterales"
"s12-1319","Enterobacterales"
"s12-1320","Enterobacterales"
"s12-1323","Carnobacterium"
"s12-1324","Pseudomonas"
"s12-1325","Enterobacterales"
"s12-1326","Enterobacterales"
"s12-1327","Enterobacterales"
"s12-1328","Enterobacterales"
"s12-1329","Carnobacterium"
"s12-1330","Carnobacterium"
"s12-1332","Ewingella"
"s12-1333","Erwinia"
"s12-1334","Enterobacterales"
"s12-1335","Enterobacterales"
"s12-1336","Enterobacterales"
"s12-1337","Psychrobacter"
"s12-1338","Pseudomonas"
"s12-1339","Pseudomonas"
"s12-1340","Pseudomonas"
"s12-1341","Pseudomonas"
"s12-1342","Pseudomonas"
"s12-1343","Pseudomonas"
"s12-1344","Pseudomonas"
"s12-1345","Pseudomonas"
"s12-1346","Psychrobacter"
"s12-1347","Pseudomonas"
"s12-1348","Erwinia"
"s12-1350","Pseudomonas"
"s12-1351","Pseudomonas"
"s12-1352","Pseudomonas"
"s12-1353","Pseudomonas"
"s12-1354","Pseudomonas"
"s12-1355","Pantoea"
"s12-1356","Pseudomonas"
"s12-1357","Serratia"
"s12-1358","Pantoea"
"s12-1359","Pantoea"
"s12-1360","Pantoea"
"s12-1361","Pseudomonas"
"s12-1362","Pseudomonas"
"s12-1363","Erwinia"
"s12-1364","Erwinia"
"s12-1365","Shewanella"
"s12-1369","Pseudomonas"
"s12-1370","Pseudomonas"
"s12-1371","Pantoea"
"s12-1372","Pantoea"
"s12-1373","Exiguobacterium"
"s12-1374","Exiguobacterium"
"s12-1375","Exiguobacterium"
"s12-1376","Exiguobacterium"
"s12-1377","Pseudomonas"
"s12-1378","Pseudomonas"
"s12-1379","Pseudomonas"
"s12-1380","Pseudomonas"
"s12-1381","Exiguobacterium"
"s12-1382","Exiguobacterium"
"s12-1383","Exiguobacterium"
"s12-1384","Exiguobacterium"
"s12-1385","Pantoea"
"s12-1386","Shewanella"
"s12-1387","Shewanella"
"s12-1388","Shewanella"
"s12-1389","Shewanella"
"s12-1390","Shewanella"
"s12-1391","Shewanella"
"s12-1392","Enterobacterales"
"s12-1393","Shewanella"
"s12-1394","Shewanella"
"s12-1395","Enterobacterales"
"s12-1396","Shewanella"
"s12-1397","Shewanella"
"s12-1398","Pseudomonas"
"s12-1399","Pseudomonas"
"s12-1400","Pseudomonas"
"s12-1401","Pseudomonas"
"s12-1402","Pseudomonas"
"s12-1403","Pseudomonas"
"s12-1404","Pseudomonas"
"s12-1405","Pseudomonas"
"s12-1406","Enterobacterales"
"s12-1407","Pseudomonas"
"s12-1408","Pseudomonas"
"s12-1409","Pseudomonas"
"s12-1410","Pseudomonas"
"s12-1411","Pseudomonas"
"s12-1412","Pseudomonas"
"s12-1413","Pseudomonas"
"s12-1414","Pseudomonas"
"s12-1415","Acinetobacter"
"s12-1416","Pseudomonas"
"s12-1417","Pseudomonas"
"s12-1418","Pseudomonas"
"s12-1419","Pseudomonas"
"s12-1420","Pseudomonas"
"s12-1421","Pseudomonas"
"s12-1422","Pseudomonas"
"s12-1423","Pseudomonas"
"s12-1424","Pseudomonas"
"s12-1425","Pseudomonas"
"s12-1426","Sphingobacterium"
"s12-1427","Shewanella"
"s12-1428","Pseudomonas"
"s12-1429","Pseudomonas"
"s12-1430","Pseudomonas"
"s12-1432","Pseudomonas"
"s12-1434","Pseudomonas"
"s12-1435","Erwinia"
"s12-1436","Pseudomonas"
"s12-1437","Pseudomonas"
"s12-1438","Erwinia"
"s12-1439","Pseudomonas"
"s12-1440","Pantoea"
"s12-1441","Erwinia"
"s12-1442","Ewingella"
"s12-1443","Erwinia"
"s12-1444","Erwinia"
"s12-1445","Ewingella"
"s12-1446","Exiguobacterium"
"s12-1447","Pantoea"
"s12-1448","Pantoea"
"s12-1449","Exiguobacterium"
"s12-1450","Pseudomonas"
"s12-1451","Pantoea"
"s12-1452","Pantoea"
"s12-1453","Erwinia"
"s12-1454","Pseudomonas"
"s12-1455","Pantoea"
"s12-1456","Exiguobacterium"
"s12-1457","Pantoea"
"s12-1458","Pantoea"
"s12-1459","Pantoea"
"s12-1460","Erwinia"
"s12-1461","Pantoea"
"s12-1462","Pantoea"
"s12-1463","Pseudomonas"
"s12-1464","Exiguobacterium"
"s12-1465","Pantoea"
"s12-1466","Pseudomonas"
"s12-1467","Erwinia"
"s12-1468","Pantoea"
"s12-1469","Pantoea"
"s12-1470","Pantoea"
"s12-1471","Pseudomonas"
"s12-1472","Acinetobacter"
"s12-1473","Acinetobacter"
"s12-1474","Bacillus"
"s12-1475","Acinetobacter"
"s12-1476","Acinetobacter"
"s12-1477","Enterobacteriaceae"
"s12-1478","Enterobacteriaceae"
"s12-1479","Enterobacteriaceae"
"s12-1480","Enterobacteriaceae"
"s12-1481","Bacillus"
"s12-1482","Stenotrophomonas"
"s12-1485","Pantoea"
"s12-1486","Pantoea"
"s12-1487","Pantoea"
"s12-1488","Pantoea"
"s12-1489","Bacillus"
"s12-1490","Bacillus"
"s12-1491","Bacillus"
"s12-1492","Pantoea"
"s12-1493","Bacillus"
"s12-1494","Pantoea"
"s12-1495","Pantoea"
"s12-1496","Pantoea"
"s12-1497","Stenotrophomonas"
"s12-1498","Pseudomonas"
"s12-1499","Pantoea"
"s12-1500","Pantoea"
"s12-1501","Pseudomonas"
"s12-1502","Pantoea"
"s12-1503","Exiguobacterium"
"s12-1504","Pantoea"
"s12-1506","Pantoea"
"s12-1507","Pantoea"
"s12-1508","Bacillus"
"s12-1509","Pseudomonas"
"s12-1510","Erwinia"
"s12-1511","Erwinia"
"s12-1512","Pseudomonas"
"s12-1513","Enterobacteriaceae"
"s12-1514","Acinetobacter"
"s12-1515","Pantoea"
"s12-1516","Pseudomonas"
"s12-1517","Pseudomonas"
"s12-1518","Pantoea"
"s12-1519","Erwinia"
"s12-1520","Erwinia"
"s12-1521","Erwinia"
"s12-1522","Pantoea"
"s12-1523","Pseudomonas"
"s12-1524","Pseudomonas"
"s12-1525","Enterobacterales"
"s12-1526","Enterobacterales"
"s12-1527","Pantoea"
"s12-1528","Enterobacteriaceae"
"s12-1529","Enterobacteriaceae"
"s12-1530","Sphingobacterium"
"s12-1531","Pantoea"
"s12-1532","Erwinia"
"s12-1533","Pseudomonas"
"s12-1534","Paenibacillus"
"s12-1535","Sphingobacterium"
"s12-1536","Pseudomonas"
"s12-1537","Pseudomonas"
"s12-1538","Pseudomonas"
"s12-1539","Carnobacterium"
"s12-1540","Carnobacterium"
"s12-1541","Pseudomonas"
"s12-1542","Pseudomonas"
"s12-1543","Pseudomonas"
"s12-1544","Erwinia"
"s12-1545","Pseudomonas"
"s12-1546","Pseudomonas"
"s12-1547","Exiguobacterium"
"s12-1548","Pseudomonas"
"s12-1549","Pseudomonas"
"s12-1551","Pseudomonas"
"s12-1552","Sphingobacterium"
"s12-1553","Shewanella"
"s12-1554","Pseudomonas"
"s12-1555","Shewanella"
"s12-1556","Shewanella"
"s12-1557","Pseudomonas"
"s12-1558","Erwinia"
"s12-1559","Stenotrophomonas"
"s12-1560","Shewanella"
"s12-1561","Pseudomonas"
"s12-1562","Acinetobacter"
"s12-1563","Psychrobacter"
"s12-1564","Acinetobacter"
"s12-1565","Psychrobacter"
"s12-1566","Psychrobacter"
"s12-1567","Psychrobacter"
"s12-1568","Carnobacterium"
"s12-1569","Exiguobacterium"
"s12-1570","Exiguobacterium"
"s12-1571","Psychrobacter"
"s12-1572","Psychrobacter"
"s12-1573","Psychrobacter"
"s12-1574","Pseudomonas"
"s12-1575","Pseudomonas"
"s12-1576","Shewanella"
"s12-1577","Pseudomonas"
"s12-1578","Pseudomonas"
"s12-1579","Enterobacterales"
"s12-1580","Shewanella"
"s12-1581","Pseudomonas"
"s12-1582","Pseudomonas"
"s12-1583","Pseudomonas"
"s12-1584","Shewanella"
"s12-1585","Pseudomonas"
"s12-1586","Ewingella"
"s12-1587","Pantoea"
"s12-1588","Ewingella"
"s12-1589","Pantoea"
"s12-1590","Erwinia"
"s12-1591","Pseudomonas"
"s12-1592","Pseudomonas"
"s12-1593","Pseudomonas"
"s12-1594","Erwinia"
"s12-1595","Pantoea"
"s12-1596","Pantoea"
"s12-1597","Pseudomonas"
"s12-1598","Erwinia"
"s12-1599","Pantoea"
"s12-1600","Pantoea"
"s12-1601","Pantoea"
"s12-1602","Pantoea"
"s12-1603","Pantoea"
"s12-1604","Pantoea"
"s12-1605","Sphingobacterium"
"s12-1606","Erwinia"
"s12-1607","Pseudomonas"
"s12-1608","Pseudomonas"
"s12-1609","Erwinia"
"s12-1610","Pantoea"
"s12-1611","Pantoea"
"s12-1612","Pantoea"
"s12-1613","Pantoea"
"s12-1614","Pantoea"
"s12-1616","Pantoea"
"s12-1617","Pantoea"
"s12-1618","Pantoea"
"s12-1619","Pseudomonas"
"s12-1620","Pseudomonas"
"s12-1621","Pseudomonas"
"s12-1622","Pantoea"
"s12-1623","Pantoea"
"s12-1624","Pseudomonas"
"s12-1625","Erwinia"
"s12-1626","Erwinia"
"s12-1627","Pseudomonas"
"s12-1628","Pantoea"
"s12-1629","Erwinia"
"s12-1630","Pseudomonas"
"s12-1631","Enterobacterales"
"s12-1632","Erwinia"
"s12-1633","Pseudomonas"
"s12-1634","Pseudomonas"
"s12-1635","Pseudomonas"
"s12-1636","Erwinia"
"s12-1637","Erwinia"
"s12-1638","Glutamicibacter"
"s12-1639","Pantoea"
"s12-1641","Pantoea"
"s12-1642","Pseudomonas"
"s12-1643","Psychrobacter"
"s12-1644","Exiguobacterium"
"s12-1645","Pseudomonas"
"s12-1646","Pantoea"
"s12-1647","Exiguobacterium"
"s12-1648","Pseudomonas"
"s12-1649","Bacillus"
"s12-1650","Pseudomonas"
"s12-1651","Bacillus"
"s12-1652","Shewanella"
"s12-1653","Pseudomonas"
"s12-1654","Carnobacterium"
"s12-1655","Pseudomonas"
"s12-1656","Pantoea"
"s12-1657","Acinetobacter"
"s12-1658","Exiguobacterium"
"s12-1659","Pseudomonas"
"s12-1660","Pantoea"
"s12-1661","Pantoea"
"s12-1662","Pseudomonas"
"s12-1663","Psychrobacter"
"s12-1664","Pseudomonas"
"s12-1665","Pseudomonas"
"s12-1678","Erwinia"
"s12-1679","Erwinia"
"s12-1680","Pantoea"
"s12-1681","Pantoea"
"s12-1682","Pseudomonas"
"s12-1683","Pseudomonas"
"s12-1684","Erwinia"
"s12-1686","Erwinia"
"s12-1687","Pantoea"
"s12-1688","Erwinia"
"s12-1689","Pseudomonas"
"s12-1690","Enterobacterales"
"s12-1692","Pseudomonas"
"s12-1693","Pseudomonas"
"s12-1694","Pseudomonas"
"s12-1695","Erwinia"
"s12-1696","Hafnia"
"s12-1697","Pseudomonas"
"s12-1698","Pseudomonas"
"s12-1699","Pseudomonas"
"s12-1700","Pseudomonas"
"s12-1701","Pseudomonas"
"s12-1702","Pseudomonas"
"s12-1703","Pantoea"
"s12-1704","Peribacillus"
"s12-1705","Pantoea"
"s12-1706","Pantoea"
"s12-1707","Pantoea"
"s12-1708","Pantoea"
"s12-1709","Pantoea"
"s12-1710","Pantoea"
"s12-1711","Bacillus"
"s12-1712","Pseudomonas"
"s12-1713","Bacillus"
"s12-1714","Bacillus"
"s12-1715","Pseudomonas"
"s12-1716","Erwinia"
"s12-1717","Pantoea"
"s12-1718","Pantoea"
"s12-1719","Bacillus"
"s12-1720","Bacillus"
"s12-1721","Bacillus"
"s12-1722","Peribacillus"
"s12-1723","Pantoea"
"s12-1724","Pantoea"
"s12-1725","Pantoea"
"s12-1726","Pantoea"
"s12-1727","Pseudomonas"
"s12-1728","Pseudomonas"
"s12-1729","Pseudomonas"
"s12-1730","Pseudomonas"
"s12-1731","Pseudomonas"
"s12-1732","Pseudomonas"
"s12-1733","Pseudomonas"
"s12-1734","Pseudomonas"
"s12-1735","Pseudomonas"
"s12-1736","Pseudomonas"
"s12-1737","Pseudomonas"
"s12-1738","Pseudomonas"
"s12-1739","Pantoea"
"s12-1740","Pantoea"
"s12-1741","Pantoea"
"s12-1742","Pantoea"
"s12-1743","Pseudomonas"
"s12-1744","Pseudomonas"
"s12-1745","Erwinia"
"s12-1746","Pseudomonas"
"s12-1747","Paenibacillus"
"s12-1748","Pantoea"
"s12-1749","Pseudomonas"
"s12-1750","Psychrobacter"
"s12-1751","Serratia"
"s12-1752","Exiguobacterium"
"s12-1753","Pseudomonas"
"s12-1754","Pantoea"
"s12-1755","Exiguobacterium"
"s12-1756","Pantoea"
"s12-1757","Erwinia"
"s12-1758","Erwinia"
"s12-1759","Erwinia"
"s12-1760","Erwinia"
"s12-1761","Pseudomonas"
"s12-1762","Pseudomonas"
"s12-1763","Pantoea"
"s12-1764","Pseudomonas"
"s12-1765","Erwinia"
"s12-1766","Erwinia"
"s12-1767","Erwinia"
"s12-1768","Pseudomonas"
"s12-1769","Pantoea"
"s12-1770","Erwinia"
"s12-1771","Pseudomonas"
"s12-1772","Exiguobacterium"
"s12-1773","Pseudomonas"
"s12-1774","Erwinia"
"s12-1775","Pseudomonas"
"s12-1776","Erwinia"
"s12-1777","Erwinia"
"s12-1778","Erwinia"
"s12-1779","Pseudomonas"
"s12-1780","Erwinia"
"s12-1781","Pantoea"
"s12-1782","Pantoea"
"s12-1783","Pantoea"
"s12-1784","Exiguobacterium"
"s12-1785","Pseudomonas"
"s12-1786","Pseudomonas"
"s12-1787","Erwinia"
"s12-1788","Pseudomonas"
"s12-1789","Erwinia"
"s12-1790","Rahnella"
"s12-1791","Pseudomonas"
"s12-1792","Erwinia"
"s12-1793","Pantoea"
"s12-1794","Pseudomonas"
"s12-1795","Pseudomonas"
"s12-1796","Erwinia"
"s12-1797","Pseudomonas"
"s12-1798","Pseudomonas"
"s12-1799","Pseudomonas"
"s12-1800","Pseudomonas"
"s12-1801","Pseudomonas"
"s12-1802","Pseudomonas"
"s12-1803","Aeromonas"
"s12-1804","Sphingobacterium"
"s12-1805","Erwinia"
"s12-1806","Pseudomonas"
"s12-1807","Erwinia"
"s12-1808","Pseudomonas"
"s12-1809","Stenotrophomonas"
"s12-1810","Stenotrophomonas"
"s12-1811","Sphingobacterium"
"s12-1812","Sphingobacterium"
"s12-1813","Pseudomonas"
"s12-1814","Pseudomonas"
"s12-1815","Erwinia"
"s12-1816","Erwinia"
"s12-1817","Erwinia"
"s12-1818","Erwinia"
"s12-1819","Pantoea"
"s12-1820","Erwinia"
"s12-1821","Exiguobacterium"
"s12-1822","Pseudomonas"
"s12-1823","Erwinia"
"s12-1824","Pantoea"
"s12-1825","Pantoea"
"s12-1826","Erwinia"
"s12-1827","Pantoea"
"s12-1828","Pantoea"
"s12-1829","Pseudomonas"
"s12-1830","Pseudomonas"
"s12-1831","Pseudomonas"
"s12-1832","Pseudomonas"
"s12-1833","Pseudomonas"
"s12-1834","Pseudomonas"
"s12-1835","Pseudomonas"
"s12-1836","Pseudomonas"
"s12-1837","Pseudomonas"
"s12-1838","Pseudomonas"
"s12-1839","Pseudomonas"
"s12-1841","Erwinia"
"s12-1842","Pantoea"
"s12-1843","Shewanella"
"s12-1844","Sphingobacterium"
"s12-1845","Exiguobacterium"
"s12-1846","Pantoea"
"s12-1847","Pantoea"
"s12-1848","Erwinia"
"s12-1849","Pantoea"
"s12-1850","Pantoea"
"s12-1851","Pantoea"
"s12-1852","Pantoea"
"s12-1853","Pseudomonas"
"s12-1854","Pantoea"
"s12-1855","Serratia"
"s12-1856","Pseudomonas"
"s12-1857","Pantoea"
"s12-1858","Pantoea"
"s12-1859","Pantoea"
"s12-1860","Pseudomonas"
"s12-1861","Pantoea"
"s12-1862","Pantoea"
"s12-1863","Pantoea"
"s12-1864","Pantoea"
"s12-1865","Pantoea"
"s12-1866","Pseudomonas"
"s12-1867","Pseudomonas"
"s12-1868","Pantoea"
"s12-1869","Pantoea"
"s12-1870","Pantoea"
"s12-1871","Pseudomonas"
"s12-1872","Pantoea"
"s12-1873","Pantoea"
"s12-1874","Pantoea"
"s12-1875","Erwinia"
"s12-1876","Pseudomonas"
"s12-1877","Exiguobacterium"
"s12-1878","Pseudomonas"
"s12-1879","Pseudomonas"
"s12-1880","Pseudomonas"
"s12-1881","Pseudomonas"
"s12-1882","Pseudomonas"
"s12-1883","Pseudomonas"
"s12-1884","Pseudomonas"
"s12-1885","Pseudomonas"
"s12-1886","Pseudomonas"
"s12-1887","Erwinia"
"s12-1888","Pseudomonas"
"s12-1889","Pseudomonas"
"s12-1890","Enterobacteriaceae"
"s12-1891","Erwinia"
"s12-1892","Pantoea"
"s12-1893","Erwinia"
"s12-1894","Erwinia"
"s12-1895","Erwinia"
"s12-1896","Pantoea"
"s12-1897","Erwinia"
"s12-1898","Erwinia"
"s12-1899","Pantoea"
"s12-1900","Erwinia"
"s12-1901","Erwinia"
"s12-1902","Pantoea"
"s12-1903","Stenotrophomonas"
"s12-1904","Bacillus"
"s12-1905","Bacillus"
"s12-1906","Bacillus"
"s12-1907","Pantoea"
"s12-1908","Pantoea"
"s12-1909","Pantoea"
"s12-1910","Bacillus"
"s12-1911","Enterobacteriaceae"
"s12-1912","Bacillus"
"s12-1913","Bacillus"
"s12-1914","Erwinia"
"s12-1915","Pantoea"
"s12-1916","Pantoea"
"s12-1917","Pantoea"
"s12-1918","Pseudomonas"
"s12-1919","Pantoea"
"s12-1920","Pantoea"
"s12-1921","Erwinia"
"s12-1922","Erwinia"
"s12-1923","Pantoea"
"s12-1924","Erwinia"
"s12-1925","Erwinia"
"s12-1926","Pseudomonas"
"s12-1927","Pseudomonas"
"s12-1929","Pseudomonas"
"s12-1930","Pseudomonas"
"s12-1932","Pseudomonas"
"s12-1933","Pseudomonas"
"s12-1935","Pseudomonas"
"s12-1936","Pseudomonas"
"s12-1937","Pseudomonas"
"s12-1938","Pseudomonas"
"s12-1939","Exiguobacterium"
"s12-1940","Pseudomonas"
"s12-1941","Pseudomonas"
"s12-1942","Pseudomonas"
"s12-1943","Pantoea"
"s12-1944","Erwinia"
"s12-1945","Pseudomonas"
"s12-1946","Acinetobacter"
"s12-1947","Exiguobacterium"
"s12-1948","Exiguobacterium"
"s12-1949","Exiguobacterium"
"s12-1950","Serratia"
"s12-1951","Pantoea"
"s12-1952","Pantoea"
"s12-1953","Pantoea"
"s12-1954","Serratia"
"s12-1955","Serratia"
"s12-1956","Serratia"
"s12-1957","Serratia"
"s12-1958","Pantoea"
"s12-1959","Pantoea"
"s12-1960","Pantoea"
"s12-1961","Siccibacter"
"s12-1962","Pseudomonas"
"s12-1963","Pseudomonas"
"s12-1964","Pseudomonas"
"s12-1965","Pseudomonas"
"s12-1966","Serratia"
"s12-1967","Erwinia"
"s12-1968","Erwinia"
"s12-1969","Enterobacterales"
"s12-1970","Pseudomonas"
"s12-1971","Erwinia"
"s12-1972","Erwinia"
"s12-1973","Enterobacterales"
"s12-1974","Erwinia"
"s12-1975","Pseudomonas"
"s12-1976","Pseudomonas"
"s12-1977","Pantoea"
"s12-1978","Pseudomonas"
"s12-1979","Pseudomonas"
"s12-1980","Erwinia"
"s12-1981","Erwinia"
"s12-1982","Pseudomonas"
"s12-1983","Pantoea"
"s12-1984","Pantoea"
"s12-1985","Erwinia"
"s12-1986","Pantoea"
"s12-1987","Pseudomonas"
"s12-1988","Pantoea"
"s12-1989","Erwinia"
"s12-1990","Pseudomonas"
"s12-1991","Erwinia"
"s12-1992","Pseudomonas"
"s12-1993","Pantoea"
"s12-1994","Ewingella"
"s12-1995","Erwinia"
"s12-1996","Pantoea"
"s12-1997","Pseudomonas"
"s12-1998","Serratia"
"s12-1999","Pantoea"
"s12-2000","Erwinia"
"s12-2001","Enterobacteriaceae"
"s12-2002","Pantoea"
"s12-2003","Bacillus"
"s12-2004","Exiguobacterium"
"s12-2005","Serratia"
"s12-2006","Pantoea"
"s12-2008","Pantoea"
"s12-2009","Pseudomonas"
"s12-2010","Siccibacter"
"s12-2011","Pseudomonas"
"s12-2012","Exiguobacterium"
"s12-2013","Erwinia"
"s12-2014","Erwinia"
"s12-2015","Erwinia"
"s12-2016","Pseudomonas"
"s12-2017","Erwinia"
"s12-2018","Pantoea"
"s12-2019","Erwinia"
"s12-2020","Erwinia"
"s12-2021","Erwinia"
"s12-2022","Erwinia"
"s12-2023","Erwinia"
"s12-2024","Erwinia"
"s12-2025","Bacillus"
"s12-2026","Pseudomonas"
"s12-2027","Pseudomonas"
"s12-2028","Shewanella"
"s12-2029","Pseudomonas"
"s12-2030","Enterobacterales"
"s12-2031","Pseudomonas"
"s12-2032","Pseudomonas"
"s12-2033","Enterobacterales"
"s12-2034","Pseudomonas"
"s12-2035","Erwinia"
"s12-2036","Erwinia"
"s12-2037","Exiguobacterium"
"s12-2038","Ewingella"
"s12-2039","Erwinia"
"s12-2040","Pseudomonas"
"s12-2041","Pantoea"
"s12-2042","Erwinia"
"s12-2043","Erwinia"
"s12-2044","Pseudomonas"
"s12-2045","Pantoea"
"s12-2046","Erwinia"
"s12-2047","Pseudomonas"
"s12-2048","Pseudomonas"
"s12-2049","Serratia"
"s12-2050","Pseudomonas"
"s12-2051","Enterobacteriaceae"
"s12-2052","Aeromonas"
"s12-2053","Pantoea"
"s12-2054","Enterobacterales"
"s12-2055","Pseudomonas"
"s12-2056","Stenotrophomonas"
"s12-2057","Pseudomonas"
"s12-2058","Erwinia"
"s12-2059","Pseudomonas"
"s12-2060","Bacillus"
"s12-2061","Pantoea"
"s12-2062","Pseudomonas"
"s12-2063","Pantoea"
"s12-2064","Enterobacteriaceae"
"s12-2065","Bacillus"
"s12-2066","Enterobacteriaceae"
"s12-2067","Pantoea"
"s12-2068","Pseudomonas"
"s12-2069","Bacillus"
"s12-2070","Bacillus"
"s12-2071","Pseudomonas"
"s12-2072","Pseudomonas"
"s12-2073","Exiguobacterium"
"s12-2074","Pseudomonas"
"s12-2075","Pseudomonas"
"s12-2076","Pantoea"
"s12-2077","Pseudomonas"
"s12-2078","Pantoea"
"s12-2079","Pseudomonas"
"s12-2080","Erwinia"
"s12-2081","Erwinia"
"s12-2082","Erwinia"
"s12-2083","Sphingobacterium"
"s12-2084","Pseudomonas"
"s12-2085","Pantoea"
"s12-2086","Shewanella"
"s12-2087","Shewanella"
"s12-2088","Pseudomonas"
"s12-2089","Shewanella"
"s12-2090","Pantoea"
"s12-2091","Pantoea"
"s12-2092","Serratia"
"s12-2093","Pantoea"
"s12-2094","Serratia"
"s12-2095","Pantoea"
"s12-2096","Serratia"
"s12-2097","Serratia"
"s12-2098","Pseudomonas"
"s12-2099","Enterobacteriaceae"
"s12-2100","Pseudomonas"
"s12-2101","Pseudomonas"
"s12-2102","Erwinia"
"s12-2103","Pseudomonas"
"s12-2104","Pseudomonas"
"s12-2105","Pseudomonas"
"s12-2106","Erwinia"
"s12-2107","Pseudomonas"
"s12-2108","Pseudomonas"
"s12-2109","Pseudomonas"
"s12-2110","Pseudomonas"
"s12-2111","Pseudomonas"
"s12-2112","Shewanella"
"s12-2113","Pseudomonas"
"s12-2114","Pantoea"
"s12-2115","Exiguobacterium"
"s12-2116","Pantoea"
"s12-2117","Pseudomonas"
"s12-2118","Pseudomonas"
"s12-2119","Pantoea"
"s12-2120","Exiguobacterium"
"s12-2121","Pantoea"
"s12-2123","Pantoea"
"s12-2124","Pantoea"
"s12-2125","Pantoea"
"s12-2126","Pseudomonas"
"s12-2127","Bacillus"
"s12-2128","Pantoea"
"s12-2129","Pantoea"
"s12-2131","Pantoea"
"s12-2132","Pseudomonas"
"s12-2133","Pseudomonas"
"s12-2134","Pantoea"
"s12-2135","Bacillus"
"s12-2136","Pseudomonas"
"s12-2137","Bacillus"
"s12-2138","Bacillus"
"s12-2139","Pantoea"
"s12-2140","Pseudomonas"
"s12-2141","Pseudomonas"
"s12-2142","Pseudomonas"
"s12-2143","Pantoea"
"s12-2144","Pantoea"
"s12-2145","Pantoea"
"s12-2146","Pantoea"
"s12-2147","Pantoea"
"s12-2148","Pseudomonas"
"s12-2149","Pantoea"
"s12-2150","Pantoea"
"s12-2151","Shewanella"
"s12-2154","Pantoea"
"s12-2155","Pseudomonas"
"s12-2156","Pantoea"
"s12-2157","Erwinia"
"s12-2158","Pseudomonas"
"s12-2159","Pantoea"
"s12-2160","Exiguobacterium"
"s12-2161","Shewanella"
"s12-2162","Rahnella"
"s12-2163","Pseudomonas"
"s12-2164","Erwinia"
"s12-2165","Pantoea"
"s12-2166","Erwinia"
"s12-2167","Pantoea"
"s12-2168","Pantoea"
"s12-2169","Pantoea"
"s12-2170","Pantoea"
