Sampling_code,Date_Time_of_arrival,Date_Time_of_testing,Date_Time_of_incubation,Sample_Name,Sample_Mass_g,Buffer_Volume_mL,Total_Bag_Mass,Bag_Mass,Notes
0522_B,"2022_05_20, 10:21AM","2022_06_01, 11:15AM","2022_06_01, 12:45PM",D12_3,,199.78,37.61,12.19,
0522_B,"2022_05_20, 10:21AM","2022_06_01, 11:15AM","2022_06_01, 12:45PM",D12_NC,,200.14,NA,NA,
0522_B,"2022_05_20, 10:21AM","2022_06_08, 11:55AM","2022_06_08, 1:30PM",D17_1,,229.18,37.08,12.13,
0522_B,"2022_05_20, 10:21AM","2022_06_08, 11:55AM","2022_06_08, 1:30PM",D17_2,,204.21,38.63,12.18,
0522_B,"2022_05_20, 10:21AM","2022_06_08, 11:55AM","2022_06_08, 1:30PM",D17_3,,199.36,37.15,12.1,
0522_B,"2022_05_20, 10:21AM","2022_06_08, 11:55AM","2022_06_08, 1:30PM",D17_NC,,198.99,NA,NA,
0522_B,"2022_05_20, 10:21AM","2022_06_15, 11:00AM","2022_06_15, 12:45PM",D22_1,,199.41,36.91,12.03,
0522_B,"2022_05_20, 10:21AM","2022_06_15, 11:00AM","2022_06_15, 12:45PM",D22_2,,199.85,37.47,12.07,
0522_B,"2022_05_20, 10:21AM","2022_06_15, 11:00AM","2022_06_15, 12:45PM",D22_3,,202.07,36.69,12.04,
0522_B,"2022_05_20, 10:21AM","2022_06_15, 11:00AM","2022_06_15, 12:45PM",D22_NC,,204.48,,,
0522_C,"2022_05_27, 10:11AM","2022_05_27, 12:45PM","2022_05_27, 1:50PM",H_1,,200.24,37.64,12.18,
0522_C,"2022_05_27, 10:11AM","2022_05_27, 12:45PM","2022_05_27, 1:50PM",H_2,,207.62,37.66,12.18,
0522_C,"2022_05_27, 10:11AM","2022_05_27, 12:45PM","2022_05_27, 1:50PM",H_3,,209.04,38.58,12.16,
0522_C,"2022_05_27, 10:11AM","2022_05_27, 12:45PM","2022_05_27, 1:50PM",H_NC,,201.78,NA,NA,
0522_C,"2022_06_07, 10:13AM","2022_06_07, 11:40AM","2022_06_07, 1:30PM",DI_1,,201.06,37.42,12.25,
0522_C,"2022_06_07, 10:13AM","2022_06_07, 11:40AM","2022_06_07, 1:30PM",DI_2,,199.91,37.3,12.18,
0522_C,"2022_06_07, 10:13AM","2022_06_07, 11:40AM","2022_06_07, 1:30PM",DI_3,,201,37.27,12.18,
0522_C,"2022_06_07, 10:13AM","2022_06_07, 11:40AM","2022_06_07, 1:30PM",DI_NC,,198.02,NA,NA,
0522_C,"2022_06_07, 10:13AM","2022_06_11, 11:05AM","2022_06_11, 1:15PM",D7_1,,199.46,37.4,12.17,
0522_C,"2022_06_07, 10:13AM","2022_06_11, 11:05AM","2022_06_11, 1:15PM",D7_2,,206,37.44,12.14,
0522_C,"2022_06_07, 10:13AM","2022_06_11, 11:05AM","2022_06_11, 1:15PM",D7_3,,206.85,37.74,12.13,
0522_C,"2022_06_07, 10:13AM","2022_06_11, 11:05AM","2022_06_11, 1:15PM",D7_NC,,201.66,NA,NA,
0522_C,"2022_06_07, 10:13AM","2022_06_18, 11:00AM","2022_06_18, 12:50PM",D12_1,,201.92,37.4,12.13,
0522_C,"2022_06_07, 10:13AM","2022_06_18, 11:00AM","2022_06_18, 12:50PM",D12_2,,207.77,37.31,12.21,
0522_C,"2022_06_07, 10:13AM","2022_06_18, 11:00AM","2022_06_18, 12:50PM",D12_3,,199.06,37.84,12.15,
0522_C,"2022_06_07, 10:13AM","2022_06_18, 11:00AM","2022_06_18, 12:50PM",D12_NC,,203.18,NA,NA,
0522_C,"2022_06_07, 10:13AM","2022_06_25, 11:10AM","2022_06_25, 1:10PM",D17_1,,201.44,37.6,12.24,
0522_C,"2022_06_07, 10:13AM","2022_06_25, 11:10AM","2022_06_25, 1:10PM",D17_2,,199.98,37.28,12.22,
0522_C,"2022_06_07, 10:13AM","2022_06_25, 11:10AM","2022_06_25, 1:10PM",D17_3,,199.68,37.11,12.17,
0522_C,"2022_06_07, 10:13AM","2022_06_25, 11:10AM","2022_06_25, 1:10PM",D17_NC,,199.54,NA,NA,
0522_C,"2022_06_07, 10:13AM","2022_07_02, 10:00 AM","2022_07_02, 11:45 AM",D22_1,,202.44,36.99,12.22,
0522_C,"2022_06_07, 10:13AM","2022_07_02, 10:00 AM","2022_07_02, 11:45 AM",D22_2,,200.19,37.23,12.2,
0522_C,"2022_06_07, 10:13AM","2022_07_02, 10:00 AM","2022_07_02, 11:45 AM",D22_3,,199.63,37.44,12.08,
0522_C,"2022_06_07, 10:13AM","2022_07_02, 10:00 AM","2022_07_02, 11:45 AM",D22_NC,,222.29,NA,NA,
0622_A,"2022_06_07, 10:13AM","2022_06_07, 11:40AM","2022_06_07, 1:30PM",H_1,,206.41,37.13,12.03,
0622_A,"2022_06_07, 10:13AM","2022_06_07, 11:40AM","2022_06_07, 1:30PM",H_2,,208.78,37.56,12.16,
0622_A,"2022_06_07, 10:13AM","2022_06_07, 11:40AM","2022_06_07, 1:30PM",H_3,,201.53,36.97,11.73,
0622_A,"2022_06_07, 10:13AM","2022_06_07, 11:40AM","2022_06_07, 1:30PM",H_NC,,205.95,NA,NA,
0622_A,"2022_06_21, 10:27AM","2022_06_21, 11:45AM","2022_06_21, 12:50PM",DI_1,,199.73,36.57,12.17,
0622_A,"2022_06_21, 10:27AM","2022_06_21, 11:45AM","2022_06_21, 12:50PM",DI_2,,203.46,37.27,12,
0622_A,"2022_06_21, 10:27AM","2022_06_21, 11:45AM","2022_06_21, 12:50PM",DI_3,,198.01,36.64,12.11,
0622_A,"2022_06_21, 10:27AM","2022_06_21, 11:45AM","2022_06_21, 12:50PM",DI_NC,,203.84,NA,NA,
0622_A,"2022_06_21, 10:27AM","2022_06_23, 11:15AM","2022_06_23, 12:50",D7_1,,200.26,36.3,12.11,
0622_A,"2022_06_21, 10:27AM","2022_06_23, 11:15AM","2022_06_23, 12:50",D7_2,,211.65,36.57,12.16,
0622_A,"2022_06_21, 10:27AM","2022_06_23, 11:15AM","2022_06_23, 12:50",D7_3,,214.01,36.84,12.06,
0622_A,"2022_06_21, 10:27AM","2022_06_23, 11:15AM","2022_06_23, 12:50",D7_NC,,199.59,NA,NA,
0622_A,"2022_06_21, 10:27AM","2022_06_30,11:00 AM","2022_06_30, 12:30 PM",D12_1,,202.31,37.43,12.09,
0622_A,"2022_06_21, 10:27AM","2022_06_30,11:00 AM","2022_06_30, 12:30 PM",D12_2,,202.39,37.5,12.09,
0622_A,"2022_06_21, 10:27AM","2022_06_30,11:00 AM","2022_06_30, 12:30 PM",D12_3,,205.94,37.14,12.09,
0622_A,"2022_06_21, 10:27AM","2022_06_30,11:00 AM","2022_06_30, 12:30 PM",D12_NC,,215.92,NA,NA,
0622_A,"2022_06_21, 10:27AM","2022_07_07, 9:00 AM","2022_07_07, 10:45 AM",D17_1,,199.62,35.56,12.21,
0622_A,"2022_06_21, 10:27AM","2022_07_07, 9:00 AM","2022_07_07, 10:45 AM",D17_2,,201.86,37.08,12.08,
0622_A,"2022_06_21, 10:27AM","2022_07_07, 9:00 AM","2022_07_07, 10:45 AM",D17_3,,200.7,36.72,12.14,
0622_A,"2022_06_21, 10:27AM","2022_07_07, 9:00 AM","2022_07_07, 10:45 AM",D17_NC,,201.71,NA,NA,
0622_A,"2022_06_21, 10:27AM","2022_07_14, 9:05AM","2022_07_14, 10:15AM",D22_1,,198.66,36.76,12.08,
0622_A,"2022_06_21, 10:27AM","2022_07_14, 9:05AM","2022_07_14, 10:15AM",D22_2,,200.52,35.95,12.17,
0622_A,"2022_06_21, 10:27AM","2022_07_14, 9:05AM","2022_07_14, 10:15AM",D22_3,,203.34,36.15,12.13,
0622_A,"2022_06_21, 10:27AM","2022_07_14, 9:05AM","2022_07_14, 10:15AM",D22_NC,,198.32,,,
0622_B,"2022_06_14, 10:25AM","2022_06_14, 11:05AM","2022_06_14, 12:10PM",H_1,,204.41,37.87,12.12,
0622_B,"2022_06_14, 10:25AM","2022_06_14, 11:05AM","2022_06_14, 12:10PM",H_2,,200.04,37.49,12.16,
0622_B,"2022_06_14, 10:25AM","2022_06_14, 11:05AM","2022_06_14, 12:10PM",H_3,,200.3,37.48,12.21,
0622_B,"2022_06_14, 10:25AM","2022_06_14, 11:05AM","2022_06_14, 12:10PM",H_NC,,210.53,NA,NA,
0622_B,"2022_06_28, 10:02AM","2022_06_28, 2:00 PM","2022_06_28, 3:30 PM",DI_1,,199.17,37.17,12.24,
0622_B,"2022_06_28, 10:02AM","2022_06_28, 2:00 PM","2022_06_28, 3:30 PM",DI_2,,200.79,37.59,12.25,
0622_B,"2022_06_28, 10:02AM","2022_06_28, 2:00 PM","2022_06_28, 3:30 PM",DI_3,,199,37.48,12.16,
0622_B,"2022_06_28, 10:02AM","2022_06_28, 2:00 PM","2022_06_28, 3:30 PM",DI_NC,,200.12,NA,NA,
0622_B,"2022_06_28, 10:02AM","2022_07_02, 8:30 AM","2022_07_02, 11:00 AM",D7_1,,199.38,38.91,12.08,
0622_B,"2022_06_28, 10:02AM","2022_07_02, 8:30 AM","2022_07_02, 11:00 AM",D7_2,,199.44,37.28,12.09,
0622_B,"2022_06_28, 10:02AM","2022_07_02, 8:30 AM","2022_07_02, 11:00 AM",D7_3,,199.94,37.56,12.05,
0622_B,"2022_06_28, 10:02AM","2022_07_02, 8:30 AM","2022_07_02, 11:00 AM",D7_NC,,199.47,NA,NA,
0622_B,"2022_06_28, 10:02AM","2022_07_07, 9:00 AM","2022_07_07, 10:45 AM",D12_1,,205.17,37.4,12.1,
0622_B,"2022_06_28, 10:02AM","2022_07_07, 9:00 AM","2022_07_07, 10:45 AM",D12_2,,201.35,37.09,12.1,
0622_B,"2022_06_28, 10:02AM","2022_07_07, 9:00 AM","2022_07_07, 10:45 AM",D12_3,,201.64,37.47,12.05,
0622_B,"2022_06_28, 10:02AM","2022_07_07, 9:00 AM","2022_07_07, 10:45 AM",D12_NC,,200.85,NA,NA,
0622_B,"2022_06_28, 10:02AM","2022_07_12, 10:30 AM","2022_07_12, 12:30PM",D17_1,,200.1,37.41,12.02,
0622_B,"2022_06_28, 10:02AM","2022_07_12, 10:30 AM","2022_07_12, 12:30PM",D17_2,,204.56,37.47,12.08,
0622_B,"2022_06_28, 10:02AM","2022_07_12, 10:30 AM","2022_07_12, 12:30PM",D17_3,,202.86,37.49,12.14,
0622_B,"2022_06_28, 10:02AM","2022_07_12, 10:30 AM","2022_07_12, 12:30PM",D17_NC,,220.44,NA,NA,
0622_B,"2022_06_28, 10:02AM","2022_07_17, 8:55AM","2022_07_17, 11:00AM",D22_1,,203.66,37.34,12.22,
0622_B,"2022_06_28, 10:02AM","2022_07_17, 8:55AM","2022_07_17, 11:00AM",D22_2,,199.93,37.5,12.06,
0622_B,"2022_06_28, 10:02AM","2022_07_17, 8:55AM","2022_07_17, 11:00AM",D22_3,,201.58,37.49,12.16,
0622_B,"2022_06_28, 10:02AM","2022_07_17, 8:55AM","2022_07_17, 11:00AM",D22_NC,,200.17,NA,NA,
0722_A,"2022_07_12, 9:57AM","2022_07_12, 10:30 AM","2022_07_12, 12:20PM",H_1,,213.31,38.07,12.16,
0722_A,"2022_07_12, 9:57AM","2022_07_12, 10:30 AM","2022_07_12, 12:20PM",H_2,,199.16,37.51,12.15,
0722_A,"2022_07_12, 9:57AM","2022_07_12, 10:30 AM","2022_07_12, 12:20PM",H_3,,202.09,37.67,12.23,
0722_A,"2022_07_12, 9:57AM","2022_07_12, 10:30 AM","2022_07_12, 12:20PM",H_NC,,217.07,NA,NA,
0722_A,"2022_07_26, 10:07AM","2022_07_26, 11:15 AM","2022_07_26, 1:15 PM",DI_1,,201.94,37.15,12.16,
0722_A,"2022_07_26, 10:07AM","2022_07_26, 11:15 AM","2022_07_26, 1:15 PM",DI_2,,203.09,37.21,12.24,
0722_A,"2022_07_26, 10:07AM","2022_07_26, 11:15 AM","2022_07_26, 1:15 PM",DI_3,,208.07,37.59,12.21,
0722_A,"2022_07_26, 10:07AM","2022_07_26, 11:15 AM","2022_07_26, 1:15 PM",DI_NC,,203.09,NA,NA,
0722_A,"2022_07_26, 10:07AM","2022_07_28, 10:00 AM","2022_07_28, 1:30 PM",D7_1,,200.87,37.17,12.18,
0722_A,"2022_07_26, 10:07AM","2022_07_28, 10:00 AM","2022_07_28, 1:30 PM",D7_2,,200.09,37.91,12.2,
0722_A,"2022_07_26, 10:07AM","2022_07_28, 10:00 AM","2022_07_28, 1:30 PM",D7_3,,200.84,36.77,12.03,
0722_A,"2022_07_26, 10:07AM","2022_07_28, 10:00 AM","2022_07_28, 1:30 PM",D7_NC,,200.59,NA,NA,
0722_A,"2022_07_26, 10:07AM","2022_08_02, 9:15 AM","2022_08_02, 11:30 AM",D12_1,,200.02,38.5,12.1,
0722_A,"2022_07_26, 10:07AM","2022_08_02, 9:15 AM","2022_08_02, 11:30 AM",D12_2,,201.67,37.8,12.12,
0722_A,"2022_07_26, 10:07AM","2022_08_02, 9:15 AM","2022_08_02, 11:30 AM",D12_3,,200.16,36.78,12.05,
0722_A,"2022_07_26, 10:07AM","2022_08_02, 9:15 AM","2022_08_02, 11:30 AM",D12_NC,,199.71,NA,NA,
0722_A,"2022_07_26, 10:07AM","2022_08_07, 8:45AM","2022_08_07, 10:50AM",D17_1,,200.28,38.2,12.16,
0722_A,"2022_07_26, 10:07AM","2022_08_07, 8:45AM","2022_08_07, 10:50AM",D17_2,,199.13,37.74,12.19,
0722_A,"2022_07_26, 10:07AM","2022_08_07, 8:45AM","2022_08_07, 10:50AM",D17_3,,203.28,38.19,12.2,
0722_A,"2022_07_26, 10:07AM","2022_08_07, 8:45AM","2022_08_07, 10:50AM",D17_NC,,199.99,NA,NA,
0722_A,"2022_07_26, 10:07AM","2022_08_12, 8:40AM","2022_08_12, 10:30AM",D22_1,,202.88,37.35,12.15,
0722_A,"2022_07_26, 10:07AM","2022_08_12, 8:40AM","2022_08_12, 10:30AM",D22_2,,199.02,37.1,12.18,
0722_A,"2022_07_26, 10:07AM","2022_08_12, 8:40AM","2022_08_12, 10:30AM",D22_3,,200.75,37.48,12.26,
0722_A,"2022_07_26, 10:07AM","2022_08_12, 8:40AM","2022_08_12, 10:30AM",D22_NC,,200.03,NA,NA,
0722_B,"2022_07_19, 10:05AM","2022_07_19, 10:45AM","2022_07_19, 1:00PM",H_1,,206.02,38.14,12.16,Samples stored on farm for 4 days before shipping to Ithaca
0722_B,"2022_07_19, 10:05AM","2022_07_19, 10:45AM","2022_07_19, 1:00PM",H_2,,215.17,37.87,12.17,Samples stored on farm for 4 days before shipping to Ithaca
0722_B,"2022_07_19, 10:05AM","2022_07_19, 10:45AM","2022_07_19, 1:00PM",H_3,,203.94,37.44,12.11,Samples stored on farm for 4 days before shipping to Ithaca
0722_B,"2022_07_19, 10:05AM","2022_07_19, 10:45AM","2022_07_19, 1:00PM",H_NC,,201.73,NA,NA,Samples stored on farm for 4 days before shipping to Ithaca
0822_A,"2022_08_09, 10:10AM","2022_08_09, 11:00AM","2022_08_09, 12:45PM",H_1,,212.9,37.39,12.08,
0822_A,"2022_08_09, 10:10AM","2022_08_09, 11:00AM","2022_08_09, 12:45PM",H_2,,210.36,37.42,12.19,
0822_A,"2022_08_09, 10:10AM","2022_08_09, 11:00AM","2022_08_09, 12:45PM",H_3,,203.57,37.79,12.1,
0822_A,"2022_08_09, 10:10AM",NA,NA,H_NC,,220.67,NA,NA,
0822_A,"2022_08_16, 10:06AM","2022_08_16, 11:00 AM","2022_08_16, 12:30 PM",DI_1,,197.92,37.31,11.97,
0822_A,"2022_08_16, 10:06AM","2022_08_16, 11:00 AM","2022_08_16, 12:30 PM",DI_2,,201.68,37.14,12.09,
0822_A,"2022_08_16, 10:06AM","2022_08_16, 11:00 AM","2022_08_16, 12:30 PM",DI_3,,199.44,37.29,12.02,
0822_A,"2022_08_16, 10:06AM","2022_08_16, 11:00 AM","2022_08_16, 12:30 PM",DI_NC,,199.85,NA,NA,
0822_A,"2022_08_16, 10:06AM","2022_08_19, 9:00 AM","2022_08_19, 11:00 AM",D7_1,,203.14,37.43,12.15,
0822_A,"2022_08_16, 10:06AM","2022_08_19, 9:00 AM","2022_08_19, 11:00 AM",D7_2,,200.32,38.24,12.14,
0822_A,"2022_08_16, 10:06AM","2022_08_19, 9:00 AM","2022_08_19, 11:00 AM",D7_3,,201.86,37.83,12.06,
0822_A,"2022_08_16, 10:06AM","2022_08_19, 9:00 AM","2022_08_19, 11:00 AM",D7_NC,,201.96,NA,NA,
0822_A,"2022_08_16, 10:06AM","2022_08_24, 9:15 AM","2022_08_24, 11:00 AM",D12_1,,216.62,38.01,12.18,Dropped the cap of the culture tube into the whirlpak bag before taking out any of the samples
0822_A,"2022_08_16, 10:06AM","2022_08_24, 9:15 AM","2022_08_24, 11:00 AM",D12_2,,203.95,38.19,12.07,
0822_A,"2022_08_16, 10:06AM","2022_08_24, 9:15 AM","2022_08_24, 11:00 AM",D12_3,,205.2,36.93,12.22,
0822_A,"2022_08_16, 10:06AM","2022_08_24, 9:15 AM","2022_08_24, 11:00 AM",D12_NC,,211.3,NA,NA,
0822_A,"2022_08_16, 10:06AM","2022_08_29, 9:10AM","2022_08_29, 11:00AM",D17_1,,198.07,37.58,12.05,
0822_A,"2022_08_16, 10:06AM","2022_08_29, 9:10AM","2022_08_29, 11:00AM",D17_2,,208.85,37.72,12.16,
0822_A,"2022_08_16, 10:06AM","2022_08_29, 9:10AM","2022_08_29, 11:00AM",D17_3,,204,37.81,12.17,
0822_A,"2022_08_16, 10:06AM","2022_08_29, 9:10AM","2022_08_29, 11:00AM",D17_NC,,200.58,NA,NA,
0822_A,"2022_08_16, 10:06AM","2022_09_03, 10:30AM","2022_09_03, 12:45PM",D22_1,,199.5,37.42,12.13,
0822_A,"2022_08_16, 10:06AM","2022_09_03, 10:30AM","2022_09_03, 12:45PM",D22_2,,200.19,37.45,12.18,
0822_A,"2022_08_16, 10:06AM","2022_09_03, 10:30AM","2022_09_03, 12:45PM",D22_3,,219.79,37.53,12.11,
0822_A,"2022_08_16, 10:06AM","2022_09_03, 10:30AM","2022_09_03, 12:45PM",D22_NC,,200.73,NA,NA,
0822_B,"09_01_2022, 10:40 AM","2022_09_01, 11:30 AM","2022_09_01, 1:00PM",DI_1,,203.55,37.5,12.13,
0822_B,"09_01_2022, 10:40 AM","2022_09_01, 11:30 AM","2022_09_01, 1:00PM",DI_2,,206.52,37.59,12.2,
0822_B,"09_01_2022, 10:40 AM","2022_09_01, 11:30 AM","2022_09_01, 1:00PM",DI_3,,204.33,37.96,11.97,
0822_B,"09_01_2022, 10:40 AM","2022_09_01, 11:30 AM","2022_09_01, 1:00PM",DI_NC,,201.98,NA,NA,
0822_B,"09_01_2022, 10:40 AM","2022_09_07, 9:15AM","2022_09_07, ~11:00AM",D7_1,,201.61,37.08,12.08,
0822_B,"09_01_2022, 10:40 AM","2022_09_07, 9:15AM","2022_09_07, ~11:00AM",D7_2,,199.74,37.53,12.16,
0822_B,"09_01_2022, 10:40 AM","2022_09_07, 9:15AM","2022_09_07, ~11:00AM",D7_3,,200.11,37.74,12.68,
0822_B,"09_01_2022, 10:40 AM","2022_09_07, 9:15AM","2022_09_07, ~11:00AM",D7_NC,,204.2,NA,NA,
0822_B,"09_01_2022, 10:40 AM","2022_09_12, 9:00AM","2022_09_12, 10:10AM",D12_1,,201.2,37.53,12.18,
0822_B,"09_01_2022, 10:40 AM","2022_09_12, 9:00AM","2022_09_12, 10:10AM",D12_2,,203,37.29,11.94,
0822_B,"09_01_2022, 10:40 AM","2022_09_12, 9:00AM","2022_09_12, 10:10AM",D12_3,,201.65,36.45,12.15,
0822_B,"09_01_2022, 10:40 AM","2022_09_12, 9:00AM","2022_09_12, 10:10AM",D12_NC,,201.15,NA,NA,
0822_B,"09_01_2022, 10:40 AM","2022_09_17, 9:30AM","2022_09_17,11:25AM",D17_1,,199.74,37.42,12.13,
0822_B,"09_01_2022, 10:40 AM","2022_09_17, 9:30AM","2022_09_17,11:25AM",D17_2,,204.57,37.91,11.74,
0822_B,"09_01_2022, 10:40 AM","2022_09_17, 9:30AM","2022_09_17,11:25AM",D17_3,,199.76,36.06,12.55,
0822_B,"09_01_2022, 10:40 AM","2022_09_17, 9:30AM","2022_09_17,11:25AM",D17_NC,,201.76,NA,NA,
0822_B,"09_01_2022, 10:40 AM","2022_09_22, 7:20AM","2022_09_22, 9:40AM",D22_1,,206.9,37.79,12.15,
0822_B,"09_01_2022, 10:40 AM","2022_09_22, 7:20AM","2022_09_22, 9:40AM",D22_2,,199.1,37.9,12.01,
0822_B,"09_01_2022, 10:40 AM","2022_09_22, 7:20AM","2022_09_22, 9:40AM",D22_3,,199.89,37.79,12.1,
0822_B,"09_01_2022, 10:40 AM","2022_09_22, 7:20AM","2022_09_22, 9:40AM",D22_NC,,199.75,NA,NA,
0922_A,"2022_09_13, 10:15AM","2022_09_13, 11:00AM","2022_09_13, 12:35PM",H_1,25.21,203.3,,,
0922_A,"2022_09_13, 10:15AM","2022_09_13, 11:00AM","2022_09_13, 12:35PM",H_2,25.15,204.1,,,
0922_A,"2022_09_13, 10:15AM","2022_09_13, 11:00AM","2022_09_13, 12:35PM",H_3,25.95,204.04,,,
0922_A,"2022_09_13, 10:15AM","2022_09_13, 11:00AM","2022_09_13, 12:35PM",H_NC,NA,202.11,,,
0922_A,"2022_09_20, 10:15AM","2022_09_20, 11:54AM","2022_09_20, 1:20PM",DI_1,,209.63,37.72,12.12,
0922_A,"2022_09_20, 10:15AM","2022_09_20, 11:54AM","2022_09_20, 1:20PM",DI_2,,210.13,37.27,12.08,
0922_A,"2022_09_20, 10:15AM","2022_09_20, 11:54AM","2022_09_20, 1:20PM",DI_3,,201.71,37.4,12.09,
0922_A,"2022_09_20, 10:15AM","2022_09_20, 11:54AM","2022_09_20, 1:20PM",DI_NC,,201.98,NA,NA,
0922_A,"2022_09_20, 10:15AM","2022_09_24, 9:00AM","2022_09_24, 10:30AM",D7_1,,201.49,37.22,12.05,
0922_A,"2022_09_20, 10:15AM","2022_09_24, 9:00AM","2022_09_24, 10:30AM",D7_2,,212.93,37.66,12.13,
0922_A,"2022_09_20, 10:15AM","2022_09_24, 9:00AM","2022_09_24, 10:30AM",D7_3,,204.15,37.47,12.12,
0922_A,"2022_09_20, 10:15AM","2022_09_24, 9:00AM","2022_09_24, 10:30AM",D7_NC,,199.95,NA,NA,
0922_A,"2022_09_20, 10:15AM","2022_09_29, 7:15AM","2022_09_29, 9:45AM",D12_1,,198.98,37.65,12.04,
0922_A,"2022_09_20, 10:15AM","2022_09_29, 7:15AM","2022_09_29, 9:45AM",D12_2,,198.72,38.01,12.12,
0922_A,"2022_09_20, 10:15AM","2022_09_29, 7:15AM","2022_09_29, 9:45AM",D12_3,,198.14,37.53,12.1,
0922_A,"2022_09_20, 10:15AM","2022_09_29, 7:15AM","2022_09_29, 9:45AM",D12_NC,,201.35,NA,NA,~4mL of buffer spilled from bag while stomaching. The final buffer volume in bag (after spill) is noted down in the Buffer Volume column
0922_A,"2022_09_20, 10:15AM","2022_10_04, 7:10AM","2022_10_04, 9:30AM",D17_1,,201.4,37.41,11.95,
0922_A,"2022_09_20, 10:15AM","2022_10_04, 7:10AM","2022_10_04, 9:30AM",D17_2,,200.76,37.8,12.04,
0922_A,"2022_09_20, 10:15AM","2022_10_04, 7:10AM","2022_10_04, 9:30AM",D17_3,,199.27,37.43,12.04,
0922_A,"2022_09_20, 10:15AM","2022_10_04, 7:10AM","2022_10_04, 9:30AM",D17_NC,,200.41,NA,NA,
0922_A,"2022_09_20, 10:15AM","2022_10_09, 8:25AM","2022_10_09, 10:45AM",D22_1,,200.68,37.21,12.03,
0922_A,"2022_09_20, 10:15AM","2022_10_09, 8:25AM","2022_10_09, 10:45AM",D22_2,,201.75,37.05,12.21,
0922_A,"2022_09_20, 10:15AM","2022_10_09, 8:25AM","2022_10_09, 10:45AM",D22_3,,201.57,37.17,12.2,
0922_A,"2022_09_20, 10:15AM","2022_10_09, 8:25AM","2022_10_09, 10:45AM",D22_NC,,200.55,NA,NA,
0922_B,"2022_09_29, 9:46AM","2022_09_29, 11:30AM","2022_09_29, 1:45PM",H_1,,203.71,37.6,11.99,
0922_B,"2022_09_29, 9:46AM","2022_09_29, 11:30AM","2022_09_29, 1:45PM",H_2,,202.15,37.62,12.03,
0922_B,"2022_09_29, 9:46AM","2022_09_29, 11:30AM","2022_09_29, 1:45PM",H_3,,202.24,37.19,12.03,
0922_B,"2022_09_29, 9:46AM","2022_09_29, 11:30AM","2022_09_29, 1:45PM",H_NC,,,NA,NA,
0922_B,"2022_09_27, 10:28AM","2022_09_27, 12:25PM","2022_09_27, 1:40PM",DI_1,,201.59,37.44,12.07,
0922_B,"2022_09_27, 10:28AM","2022_09_27, 12:25PM","2022_09_27, 1:40PM",DI_2,,214.84,37.86,12.15,
0922_B,"2022_09_27, 10:28AM","2022_09_27, 12:25PM","2022_09_27, 1:40PM",DI_3,,210.78,37.37,12.17,
0922_B,"2022_09_27, 10:28AM","2022_09_27, 12:25PM","2022_09_27, 1:40PM",DI_NC,,206.66,NA,NA,
0922_B,"2022_09_27, 10:28AM","2022_10_01, 8:55AM","2022_10_01, 10:20AM",D7_1,,206.77,37.92,12.15,
0922_B,"2022_09_27, 10:28AM","2022_10_01, 8:55AM","2022_10_01, 10:20AM",D7_2,,198.38,37.28,12.21,
0922_B,"2022_09_27, 10:28AM","2022_10_01, 8:55AM","2022_10_01, 10:20AM",D7_3,,201.76,38.04,12.2,
0922_B,"2022_09_27, 10:28AM","2022_10_01, 8:55AM","2022_10_01, 10:20AM",D7_NC,,200.83,NA,NA,
0922_B,"2022_09_27, 10:28AM","2022_10_06, 6:50AM","2022_10_06, 8:50AM",D12_1,,200.01,37.56,12.35,
0922_B,"2022_09_27, 10:28AM","2022_10_06, 6:50AM","2022_10_06, 8:50AM",D12_2,,202.89,37.34,12.22,
0922_B,"2022_09_27, 10:28AM","2022_10_06, 6:50AM","2022_10_06, 8:50AM",D12_3,,220.21,37.76,12.26,
0922_B,"2022_09_27, 10:28AM","2022_10_06, 6:50AM","2022_10_06, 8:50AM",D12_NC,,200.98,NA,NA,
0922_B,"2022_09_27, 10:28AM","2022_10_11, 9:15AM","2022_10_11, 10:15 AM",D17_1,,201.15,37.26,12.13,
0922_B,"2022_09_27, 10:28AM","2022_10_11, 9:15AM","2022_10_11, 10:15 AM",D17_2,,200.77,37.52,12.23,
0922_B,"2022_09_27, 10:28AM","2022_10_11, 9:15AM","2022_10_11, 10:15 AM",D17_3,,200.41,37.61,12.22,
0922_B,"2022_09_27, 10:28AM","2022_10_11, 9:15AM","2022_10_11, 10:15 AM",D17_NC,,200.99,NA,NA,
0922_B,"2022_09_27, 10:28AM","2022_10_16, 8:55AM","2022_10_16, 11:10AM",D22_1,,200.87,37.41,12.14,
0922_B,"2022_09_27, 10:28AM","2022_10_16, 8:55AM","2022_10_16, 11:10AM",D22_2,,200.05,37.49,12.24,
0922_B,"2022_09_27, 10:28AM","2022_10_16, 8:55AM","2022_10_16, 11:10AM",D22_3,,199.69,37.2,12.15,
0922_B,"2022_09_27, 10:28AM","2022_10_16, 8:55AM","2022_10_16, 11:10AM",D22_NC,,205.1,NA,NA,
1022_A,"2022_10_05, 10:42AM","2022_10_05, 11:30AM","2022_10_05, 12:40PM",H_1,,205.57,36.69,12.2,
1022_A,"2022_10_05, 10:42AM","2022_10_05, 11:30AM","2022_10_05, 12:40PM",H_2,,206.59,37.45,12.08,
1022_A,"2022_10_05, 10:42AM","2022_10_05, 11:30AM","2022_10_05, 12:40PM",H_3,,201.78,37.15,12.07,
