FSL,Verified,Verified by,updated by,Previous ID,Confidential Previous ID,Genus,Species,Basis of species identification,Serotype,Project,Project 2,Catalase Activity,Oxidase Activity,Isolate Obtained From,Anecdotal Isolate History,Representative,Sample_Identifier,Obtained From (Plant Code),Description,Isolate Source General,Isolate Source Specific,Isolate Source Specific2,Confidential Comments,Month of Sample,Year of Sample Collection,Exact Date of Sample Collection,County,State,Country,Code Date,Day of shelf life,Package Type,Plate Dilution Isolated From,Sample Period,Sample Plate Count  (CFU/mL) ,Sample Replicate,Sample Site,Type of Plating Isolated from,Freezer,TOWER,BOX,SLOT,Freezer3,TOWER4,BOX5,SLOT6,Personal_Use:Date_added,Personal_Use:Added_to_Access?,Personal_Use:Added_to_FMT?
FSL S12-0196,,,,1221A-H-1-APC-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSL S12-0197,,,,1221A-H-1-APC-1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSL S12-0198,,,,1221A-H-1-APC-2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSL S12-0199,,,,1221A-H-1-APC-2-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSl S12-0200,,,,1221A-H-1-GN-2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSl S12-0201,,,,1221A-H-1-GN-2-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSL S12-0202,,,,1221A-H-1-PC-2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSL S12-0203,,,,1221A-H-1-PC-2-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSL S12-0204,,,,1221A-H-2-APC-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSL S12-0205,,,,1221A-H-2-APC-1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSL S12-0206,,,,1221A-H-2-APC-2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSL S12-0207,,,,1221A-H-2-APC-2-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSL S12-0208,,,,1221A-H-2-GN-2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSL S12-0209,,,,1221A-H-2-GN-2-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSL S12-0210,,,,1221A-H-2-PC-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
